Index,Date,Time,Counter,FbLoad,Lvdt1,Lvdt2,Force(kN),Potm,LVDT1,LVDT2,Chain,Stress [MPa],Strain Ax. [%],Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Gemidd,IFlow,IPress,IVol,FlowA,PressA,VolA,FlowB,PressB,VolB
0,44728.57628,0,58237751,-16.462828,0.031748,0.043931,0.195197,1.762156,-0.968934,-0.957024,19.912166,0.279586,-0.253129,-0.00253129,0,-0.253129,-0.962979,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
1,44728.57629,0.246624,58237751,-16.45187,0.031874,0.044163,0.198601,1.76117,-0.968955,-0.95686,19.912166,0.278629,-0.253136,-0.00253136,0,-0.253136,-0.962815,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
2,44728.5763,1.246624,58237752,-16.430458,0.032082,0.044366,0.201154,1.760184,-0.968964,-0.956729,19.912166,0.283829,-0.253001,-0.00253001,0,-0.253001,-0.962672,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
3,44728.57631,2.246624,58237753,-16.393627,0.033659,0.045794,0.189843,1.760184,-0.969875,-0.957517,19.912166,0.252685,-0.25497,-0.0025497,0,-0.25497,-0.964213,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
4,44728.57632,3.246624,58237754,-16.39318,0.031895,0.04408,0.195677,1.76117,-0.968993,-0.956761,19.912166,0.278833,-0.253126,-0.00253126,0,-0.253126,-0.962779,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
5,44728.57633,4.246624,58237755,-16.386207,0.031668,0.04404,0.207267,1.760184,-0.968469,-0.95594,19.912166,0.280675,-0.252598,-0.00252598,0,-0.252598,-0.962346,0,3,81.7698,0,7.6,42.4425,0,1.9,30.2995
6,44728.57634,5.246624,58237756,-16.352483,0.033671,0.045739,0.199525,1.76117,-0.96827,-0.956038,19.912166,0.29475,-0.251724,-0.00251724,0,-0.251724,-0.962071,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
7,44728.57635,6.246624,58237757,-16.350516,0.030995,0.043438,0.197217,1.760184,-0.969195,-0.956235,19.912166,0.271186,-0.253796,-0.00253796,0,-0.253796,-0.962999,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
8,44728.57637,7.246624,58237758,-16.321285,0.032019,0.044383,0.179621,1.758212,-0.970675,-0.958076,19.912166,0.253505,-0.255391,-0.00255391,0,-0.255391,-0.964426,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
9,44728.57638,8.246624,58237759,-16.276235,0.033609,0.045905,0.21358,1.763142,-0.968041,-0.955348,19.912166,0.289881,-0.251647,-0.00251647,0,-0.251647,-0.961743,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
10,44728.57639,9.246624,58237760,-16.287702,0.031789,0.044161,0.164843,1.757226,-0.971291,-0.958602,19.912166,0.270993,-0.254387,-0.00254387,0,-0.254387,-0.9646,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
11,44728.5764,10.246624,58237761,-16.264151,0.032424,0.044804,0.184136,1.760184,-0.969444,-0.957254,19.912166,0.26604,-0.253419,-0.00253419,0,-0.253419,-0.96309,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
12,44728.57641,11.246624,58237762,-16.240603,0.031946,0.044243,0.198513,1.760184,-0.969445,-0.9564,19.912166,0.267446,-0.253987,-0.00253987,0,-0.253987,-0.963404,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
13,44728.57642,12.246624,58237763,-16.220394,0.031493,0.043983,0.193845,1.760184,-0.969418,-0.956959,19.912166,0.266819,-0.253695,-0.00253695,0,-0.253695,-0.963144,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
14,44728.57644,13.246624,58237764,-16.221095,0.031817,0.044222,0.184298,1.760184,-0.96987,-0.957024,19.912166,0.259606,-0.2541,-0.002541,0,-0.2541,-0.963523,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
15,44728.57645,14.246624,58237765,-16.206091,0.031302,0.043544,0.189984,1.760184,-0.96921,-0.956696,19.912166,0.274053,-0.253398,-0.00253398,0,-0.253398,-0.962861,0,3,81.7698,0,7.7,42.4425,0,1.9,30.2995
