Index,Date,Time,Counter,Lvdt1,Lvdt2,Force(kN),Potm,LVDT1,LVDT2,Stress [MPa],Strain Ax. [%],Strain Ax [-],Strain Rad. [%],Gemidd,IFlow,IPress,IVol,FlowA,PressA,VolA,FlowB,PressB,VolB
0,44677.61453,0,78254627,0.2834,0.299335,6.360051,23.399233,-0.7173,-0.701527,8.997269,0.003587,0.00003587,0,-0.709414,0.02525,80,70.1808,0,0,0,0,0,0
1,44677.61454,0.568248,78254627,0.28339,0.299387,6.325679,23.399233,-0.717322,-0.701264,8.963667,0.003463,0.00003463,0,-0.709431,0.02502,80,70.1805,0,0,0,0,0,0
2,44677.61455,1.568248,78254628,0.280993,0.297436,6.022352,23.398247,-0.720454,-0.704091,8.549066,-0.000219,-0.00000219,0,-0.712125,0.02421,80,70.1802,0,0,0,0,0,0
3,44677.61456,2.568248,78254629,0.283984,0.299673,6.290529,23.400219,-0.717364,-0.701823,9.032092,0.004513,0.00004513,0,-0.709218,0.02493,80,70.1796,0,0,0,0,0,0
4,44677.61457,3.568248,78254630,0.279949,0.296481,6.068134,23.397261,-0.720806,-0.703926,8.512797,-0.001273,-0.00001273,0,-0.712632,0.02452,80,70.1792,0,0,0,0,0,0
5,44677.61458,4.568248,78254631,0.284197,0.299916,6.316746,23.399233,-0.717098,-0.701428,9.021671,0.004316,0.00004316,0,-0.708981,0.02406,80,70.179,0,0,0,0,0,0
6,44677.6146,5.568248,78254632,0.281007,0.297303,6.152783,23.399233,-0.719732,-0.703236,8.675352,0.000348,0.00000348,0,-0.711498,0.0236,80,70.1785,0,0,0,0,0,0
7,44677.61461,6.568248,78254633,0.284479,0.300179,6.446674,23.399233,-0.716006,-0.700508,9.157306,0.005355,0.00005355,0,-0.70818,0.02374,80,70.1781,0,0,0,0,0,0
8,44677.61462,7.568248,78254634,0.281408,0.297669,6.01187,23.398247,-0.720661,-0.703959,8.544379,-0.000275,-0.00000275,0,-0.712095,0.0229,80,70.1779,0,0,0,0,0,0
9,44677.61463,8.568248,78254635,0.28288,0.298657,6.457211,23.401205,-0.716068,-0.700344,9.165632,0.005104,0.00005104,0,-0.708227,0.02345,80,70.1774,0,0,0,0,0,0
